California_County,Median income per household,Mean income per household,Population,GDP in Thousands of Chained Dollars,Average Monthly Unemployment
Alameda,122488,164668,1628259,148710279,27500
Alpine,101125,164883,1190,102508,30
Amador,74853,99147,41493,1603830,640
Butte,66085,92479,207369,9106972,4100
Calaveras,77526,97040,46556,1362966,820
Colusa,69619,91248,21909,1366634,1200
Contra Costa,120020,165199,1157019,76340778,19600
Del Norte,61149,79344,27112,793917,490
El Dorado,99246,139272,192787,8382976,3200
Fresno,67756,91924,1015359,45388356,29200
Glenn,64033,78523,28360,967170,690
Humboldt,57881,81887,134944,5629986,2400
Imperial,53847,72923,178940,8517940,10400
Inyo,63417,83422,18742,1120740,310
Kern,63883,87915,916751,43822046,27400
Kings,68540,85040,152987,6607669,4000
Lake,56259,83917,68172,1867799,1430
Lassen,59515,76595,30020,1079581,400
Los Angeles,83411,119756,9719765,790016435,248800
Madera,73543,94764,160329,6140436,3900
Marin,142019,215832,256154,30668950,3500
Mariposa,60021,79433,17053,704140,330
Mendocino,61335,86870,90007,3519898,1550
Merced,64772,86076,290210,9251611,9000
Modoc,54962,68080,8619,431710,180
Mono,82038,100757,13002,1078682,330
Monterey,91043,123405,432884,26728936,13200
Napa,105809,146888,134370,11316575,2300
Nevada,79395,110539,102401,4543195,1680
Orange,109361,147182,3150372,270440831,50700
Placer,109375,140703,418074,26571231,6000
Plumas,67885,95940,19443,893623,490
Riverside,84505,110021,2474241,95159114,48500
Sacramento,84010,108612,1584380,98990166,28800
San Benito,104451,129829,67643,2261595,1600
San Bernardino,77423,100078,2194908,100649568,41700
San Diego,96974,129234,3277176,257341197,55200
San Francisco,136689,197408,807774,233953076,14700
San Joaquin,82837,107068,794293,32624193,18300
San Luis Obispo,90158,121160,282046,17761567,4200
San Mateo,149907,216684,728929,165414201,11100
Santa Barbara,92332,131742,443915,31147307,7900
Santa Clara,153792,210349,1878335,382786734,27800
Santa Cruz,104409,146532,264240,16408162,6400
Shasta,68347,91289,180937,8126075,3400
Sierra,61108,89205,3222,96666,60
Siskiyou,53898,76371,43786,1594553,960
Solano,97037,121293,448885,28736277,8600
Sonoma,99266,133119,482669,31368529,7800
Stanislaus,74872,97409,551226,23457778,13300
Sutter,72654,100982,98569,3861722,3100
Tehama,59029,87477,65299,1986742,1260
Trinity,47317,73300,15778,370586,210
Tulare,64474,85832,477884,18098172,17100
Tuolumne,70432,94641,54587,2364198,900
Ventura,102141,135094,832871,52689371,15400
Yolo,85097,117611,222018,15675696,4400
Yuba,66693,85286,84353,3152201,1800
